ts,frame,x,y,z,v
1680172394475,81,1.429614074156618e-34,1.0985838447055228e-34,6.28287381218238e-35,7.260851821699166e-35
1680172394475,81,8.276519118839191e-35,6.583749282498148e-35,1.452177825973896e-34,9.02883837322471e-35
1680172394475,81,9.59307680956311e-35,1.5349353833366698e-34,1.1136388967681831e-34,9.782195368716815e-35
1680172394475,81,7.5241866631011e-35,8.20128461052731e-35,9.06639966512518e-35,1.0534574890146687e-34
1680172394541,82,1.226469135291593e-34,1.4371272508916734e-34,1.0910703235873568e-34,4.589629014134644e-35
1680172394541,82,3.7620482747602473e-35,7.749799500484288e-35,3.877031998271377e-34,1.401298464324817e-45
1680172394574,83,1.106106778962045e-34,1.2415365851462347e-34,1.6703561207656138e-34,1.2641094057187584e-34
1680172394574,83,8.878340084036547e-35,7.975584529422772e-35,7.674610335948634e-35,4.6272474162342867e-35
1680172394574,83,9.706876486542838e-35,1.3844649891804647e-34,1.0910689460549144e-34,1.2415363555574943e-34
1680172394607,84,7.44895330273292e-35,1.083537172631887e-34,9.55547993140788e-35,9.14161638030968e-35
1680172394643,85,1.1813423204232582e-34,1.452170249545463e-34,1.3619022705125185e-34,9.857454557818288e-35
1680172394675,86,9.80908925027372e-45,4.484155085839415e-44,9.624548331871084e-38,6.097958220201547e-38
1680172394675,86,8.706104247708841e-38,7.9346630986869e-38,7.9346630986869e-38,1.160820625927141e-37
1680172394675,86,9.69797973451802e-38,9.69797973451802e-38,4.203895392974451e-45,1.793662034335766e-43
1680172394675,86,1.211433942654977e-34,9.292142220146691e-35,1.5123672693333242e-34,9.329713269568627e-35
1680172394675,86,1.6101647259018922e-34,1.3092425342774541e-34,1.264102173673436e-34,7.862737071743832e-35
1680172394675,86,1.1813428943951092e-34,1.3017233882351484e-34,1.0835483076857961e-34,1.549980563083493e-34
1680172394675,86,1.0233543873459302e-34,1.3769459579325292e-34,1.4296161404552815e-34,1.1211649304727007e-34
1680172394675,86,8.915986323770963e-35,1.519887563319332e-34,1.3092379425026462e-34,9.593103212268256e-35
1680172394710,87,1.3167631726465724e-34,7.787488214135676e-35,8.163672809103954e-35,6.395661002816966e-35
1680172394710,87,1.1362024189967208e-34,1.2641014849072147e-34,1.4220897623676533e-34,8.276527728416956e-35
1680172394710,87,1.1286860280192998e-34,1.4145717642690496e-34,9.442564171078673e-35,1.1963881889363027e-34
1680172394710,87,8.539848220522615e-35,1.4597011046135288e-34,1.128686716785521e-34,1.0760222739812785e-34
1680172394744,88,7.749894205839701e-35,5.944282077566376e-35,1.1437204170953245e-34,9.932592064887353e-35
1680172394744,88,1.0158330602105907e-34,1.399517745355721e-34,1.0233561092614831e-34,1.0384020925688978e-34
1680172394744,88,6.282866350548317e-35,8.991184671856232e-35,1.0609785865612678e-34,6.057174305049693e-35
1680172394744,88,1.5499830885596374e-34,1.2039265056384314e-34,1.2791378254875328e-34,7.749913146910783e-35
1680172394777,89,9.80908925027372e-45,5.605193857299268e-44,8.228545654702644e-38,8.00813317717145e-38
1680172394777,89,8.00813317717145e-38,7.861231696039965e-38,7.677565187879069e-38,8.265329178871784e-38
1680172394777,89,8.265365052112471e-38,8.044945287829263e-38,7.530661464670041e-38,7.200044710191101e-38
1680172394777,89,4.203895392974451e-45,1.793662034335766e-43,1.0158235322778643e-34,1.4822773690171584e-34
1680172394777,89,1.098597849618687e-34,1.226477859663728e-34,9.63178374927815e-35,9.367403131163718e-35
